"idauniq","W4_Drink","W5_Drink","W6_Drink","W7_Drink","W8_Drink","Sex"
105000,3,3,-99,-99,-99,2
105001,3,3,3,3,3,1
105005,3,3,4,3,3,1
105006,2,1,2,2,1,2
105007,3,3,3,2,3,2
105008,-99,-99,-99,-99,-99,2
105009,-99,2,1,1,-99,2
105023,3,2,2,2,2,2
105024,3,3,3,3,3,1
105032,2,2,2,2,2,2
105034,1,1,1,-99,2,2
105037,1,2,3,2,-99,1
105049,2,2,2,2,2,2
105050,3,3,3,3,3,1
105053,1,1,1,1,-99,2
105058,2,2,2,1,1,2
105060,-99,2,-99,-99,-99,1
105067,2,2,2,2,2,1
105070,2,2,-99,3,3,1
105071,3,3,3,3,3,1
105076,1,1,1,1,-99,2
105078,2,2,2,2,2,2
105081,2,3,2,2,-99,1
105084,2,2,2,2,2,2
105086,3,3,3,2,2,2
105097,-99,-99,-99,-99,-99,2
105102,4,4,4,4,4,1
105110,2,-99,-99,-99,-99,2
105111,2,2,2,2,2,1
105123,-99,1,2,2,1,2
105129,2,2,2,2,2,2
105134,2,2,2,2,2,1
105137,2,2,2,2,2,2
105140,2,2,2,1,2,1
105143,3,3,3,3,4,1
105147,-99,-99,-99,-99,-99,1
105154,2,2,2,2,2,2
105162,3,3,3,3,2,2
105168,2,2,2,2,2,1
105169,-99,3,3,3,3,1
105170,3,-99,3,2,3,1
105171,1,1,1,1,1,2
105178,2,-99,2,2,2,2
105182,3,2,2,3,3,2
105185,-99,-99,-99,-99,-99,2
105195,-99,2,1,1,1,2
105201,1,2,1,3,1,1
105211,2,2,-99,1,2,2
105214,3,3,3,2,2,2
105218,2,2,2,2,2,1
105219,1,1,2,1,2,2
105224,-99,2,1,1,2,1
105229,2,2,3,2,2,1
105236,2,2,2,3,2,1
105237,-99,3,3,3,3,1
105238,3,2,2,2,2,1
105239,3,3,3,3,2,1
105248,-99,-99,-99,-99,-99,2
105254,-99,2,1,1,1,2
105260,1,1,1,2,1,1
105261,1,1,1,1,1,2
105263,2,3,2,2,-99,1
105265,2,2,2,2,2,2
105266,2,1,1,2,1,2
105267,2,2,2,2,2,2
105288,2,1,1,1,1,2
105289,2,2,2,2,3,1
105294,2,2,2,2,2,1
105298,-99,1,2,1,2,2
105300,2,2,2,-99,-99,1
105307,-99,-99,-99,-99,-99,1
105309,1,1,-99,2,1,2
105313,-99,-99,-99,-99,-99,2
105318,1,2,2,2,2,2
105321,1,1,1,1,2,2
105326,2,2,2,2,2,2
105327,2,2,2,2,2,2
105329,1,1,1,1,1,1
105333,2,2,2,2,2,1
105338,2,2,2,2,2,2
105341,3,3,3,3,3,2
105346,3,3,2,3,2,1
105348,2,2,1,-99,-99,2
105349,3,3,2,3,3,2
105352,2,3,3,3,2,2
105353,-99,-99,-99,-99,-99,2
105356,-99,2,2,2,2,2
105358,1,1,2,2,2,2
105360,2,-99,-99,-99,-99,2
105362,-99,1,1,1,2,1
