"idauniq","Paternal_Occ_Intermediate","Paternal_Occ_High","Self_Occ_Intermediate","Self_Occ_High","Education_Intermediate","Education_Degree","Wealth_Second_Tertile","Wealth_Third_Tertile","Age","Sex"
104804,0,0,0,1,1,0,0,1,59,2
104806,0,0,1,0,1,0,0,1,63,2
104807,0,0,0,1,1,0,0,1,64,2
104811,1,0,0,1,0,1,0,1,67,1
104813,0,0,0,0,0,0,0,0,61,2
104814,1,0,0,1,1,0,0,0,67,2
104817,0,0,0,1,1,0,1,0,79,2
104819,0,0,0,1,0,1,1,0,61,1
104822,0,0,0,0,0,0,0,0,64,1
104826,1,0,0,1,1,0,0,1,76,1
104828,1,0,0,0,0,0,1,0,66,1
104829,0,0,1,0,1,0,0,1,52,2
104830,0,0,0,0,0,0,1,0,53,2
104832,0,0,0,1,1,0,1,0,67,1
104833,1,0,0,1,0,1,0,1,65,1
104837,0,0,0,0,0,0,1,0,68,2
104845,0,1,1,0,0,1,0,1,69,1
104857,0,1,0,1,1,0,0,1,73,1
104858,0,0,0,0,0,0,1,0,71,1
104860,0,0,1,0,1,0,0,1,74,2
104869,-99,-99,0,1,0,1,0,1,76,1
104872,1,0,0,0,0,0,1,0,53,2
104873,0,1,1,0,0,1,0,1,66,2
104874,0,1,0,1,1,0,0,1,68,2
104875,0,1,1,0,0,0,-99,-99,62,2
104877,0,0,0,1,0,1,0,1,75,1
104879,0,1,1,0,1,0,0,1,59,2
104885,0,1,1,0,0,1,1,0,66,2
104886,0,0,0,0,1,0,1,0,60,2
104889,0,1,1,0,1,0,0,1,53,1
104892,1,0,0,1,1,0,1,0,63,2
104897,1,0,0,1,0,1,1,0,68,2
104898,1,0,0,0,0,0,0,0,78,2
104899,0,1,0,1,1,0,1,0,76,2
104901,0,1,0,0,0,1,-99,-99,67,2
104907,1,0,1,0,1,0,0,1,60,1
104908,1,0,0,1,0,0,0,0,75,2
104916,1,0,0,0,0,0,1,0,74,2
104925,0,1,0,0,1,0,1,0,61,1
104928,1,0,0,1,0,1,0,1,60,1
104935,0,0,0,0,1,0,1,0,73,2
104936,0,1,1,0,1,0,0,1,57,2
104947,1,0,0,0,1,0,1,0,62,1
104952,0,1,0,1,0,1,0,0,59,1
104954,0,1,0,0,1,0,1,0,62,2
104957,0,0,0,0,0,0,1,0,71,1
104966,0,1,0,0,0,0,0,1,73,2
104968,0,1,0,1,0,1,0,1,64,2
104971,0,1,0,1,1,0,0,1,59,1
104972,0,1,1,0,1,0,1,0,62,1
104982,0,1,0,0,0,0,0,0,65,2
104991,0,1,1,0,1,0,0,1,73,2
104993,0,1,1,0,0,1,1,0,58,2
105000,0,1,1,0,1,0,1,0,59,2
105001,0,1,0,1,1,0,0,1,61,1
105005,0,1,1,0,1,0,0,1,76,1
105006,0,0,1,0,1,0,0,0,60,2
105007,1,0,0,1,1,0,0,1,62,2
105008,0,1,0,1,1,0,0,0,58,2
105009,0,1,0,0,0,0,0,0,76,2
105023,1,0,1,0,1,0,0,0,56,2
105024,0,0,0,1,1,0,1,0,63,1
105032,0,0,1,0,1,0,1,0,55,2
105034,1,0,0,1,1,0,0,0,56,2
105037,0,0,0,0,1,0,0,1,77,1
105049,1,0,0,0,0,0,0,0,61,2
105050,0,1,0,1,0,1,0,1,59,1
105053,0,0,1,0,1,0,1,0,61,2
105058,0,1,0,1,1,0,0,1,67,2
105060,0,0,0,0,0,0,0,0,60,1
105067,1,0,1,0,1,0,0,0,58,1
105070,1,0,1,0,1,0,1,0,69,1
105071,0,1,0,0,1,0,0,1,73,1
105076,1,0,1,0,1,0,1,0,80,2
105078,0,1,1,0,0,1,1,0,64,2
105081,1,0,0,0,1,0,0,0,62,1
105084,1,0,1,0,1,0,0,1,73,2
105086,0,0,0,1,0,1,0,1,62,2
105097,1,0,1,0,1,0,0,0,77,2
105102,0,0,1,0,0,0,0,1,66,1
105110,0,0,1,0,0,0,1,0,69,2
105111,0,1,0,1,1,0,0,0,56,1
105123,0,0,1,0,0,0,0,0,62,2
105129,0,0,0,0,0,0,0,1,57,2
105134,0,1,0,0,1,0,0,1,64,1
105137,0,0,0,0,1,0,0,0,44,2
105140,0,0,0,0,1,0,1,0,75,1
105143,0,1,0,1,0,1,0,1,82,1
105147,1,0,0,1,1,0,0,1,65,1
105154,0,1,0,0,0,0,1,0,75,2
105162,1,0,1,0,1,0,1,0,67,2
105168,0,0,0,0,1,0,0,0,73,1
105169,0,1,0,1,0,1,-99,-99,76,1
105170,0,1,0,1,0,1,0,1,65,1
105171,1,0,0,1,0,0,0,0,66,2
105178,-99,-99,0,0,1,0,1,0,62,2
105182,0,1,0,1,1,0,0,1,60,2
105185,0,0,0,0,0,0,0,0,63,2
105195,0,1,0,0,1,0,1,0,57,2
105201,1,0,0,1,0,1,1,0,61,1
105211,0,1,0,1,1,0,0,1,60,2
105214,0,1,0,1,1,0,0,1,66,2
105218,0,0,1,0,1,0,1,0,61,1
105219,0,0,1,0,0,0,-99,-99,66,2
105224,1,0,0,0,1,0,1,0,62,1
105229,1,0,0,1,0,1,0,1,57,1
105236,0,0,1,0,1,0,1,0,74,1
105237,0,0,0,0,1,0,1,0,60,1
105238,0,1,1,0,0,1,0,1,63,1
105239,0,1,0,1,0,0,0,1,61,1
105248,1,0,0,0,0,0,0,0,66,2
105254,1,0,0,0,1,0,1,0,65,2
105260,0,0,0,1,1,0,-99,-99,57,1
105261,0,1,0,1,1,0,1,0,68,2
105263,0,1,0,1,0,1,1,0,71,1
105265,0,1,0,1,1,0,0,1,64,2
105266,0,1,1,0,1,0,0,1,68,2
105267,0,1,0,0,1,0,0,1,76,2
105288,0,0,1,0,1,0,1,0,75,2
105289,0,0,0,0,1,0,0,0,60,1
105294,1,0,0,1,0,1,1,0,73,1
105298,0,1,0,1,0,1,0,1,61,2
105300,0,0,0,0,0,0,1,0,77,1
105307,1,0,1,0,1,0,1,0,61,1
105309,0,1,1,0,0,0,0,1,80,2
105313,0,0,1,0,1,0,0,0,74,2
105318,0,1,0,1,0,1,0,1,65,2
105321,0,1,0,0,1,0,0,0,78,2
105326,0,1,1,0,1,0,0,0,68,2
105327,0,1,1,0,1,0,0,1,53,2
105329,0,0,0,1,0,1,0,0,51,1
105333,0,1,0,1,1,0,0,1,67,1
105338,0,1,0,0,1,0,0,0,53,2
105341,0,1,1,0,1,0,0,0,65,2
105346,0,1,0,1,0,1,0,1,57,1
105348,0,1,0,0,0,0,1,0,87,2
105349,0,0,0,0,1,0,0,0,76,2
105352,1,0,0,1,1,0,-99,-99,63,2
105353,1,0,0,0,0,0,0,0,68,2
105356,1,0,0,0,0,0,0,1,62,2
105358,0,1,1,0,1,0,1,0,56,2
105360,0,0,0,1,1,0,0,0,74,2
105362,0,1,0,0,1,0,1,0,60,1
105363,0,1,1,0,1,0,0,1,70,1
105368,0,1,0,1,0,1,0,1,61,2
105370,0,0,0,1,0,1,0,1,61,2
105373,1,0,0,0,0,0,1,0,61,2
105374,1,0,1,0,0,1,1,0,60,2
105375,0,1,0,1,1,0,0,1,60,2
105381,0,1,1,0,0,1,0,1,60,1
105382,0,1,0,1,0,1,0,1,68,1
105383,1,0,1,0,1,0,0,0,71,2
105386,1,0,0,0,1,0,1,0,67,2
105391,0,0,1,0,0,0,0,1,72,2
105392,0,1,0,1,0,1,1,0,72,2
105401,1,0,0,0,0,0,-99,-99,76,2
105405,0,0,1,0,0,0,1,0,69,2
105414,0,1,0,0,1,0,0,1,59,2
